,0,1,2,3,4,5,sum
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.32,0.205,0.115,0.15125,0.14052697616060225,0.1569260574749758,1.088703033635578
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.43,0.245,0.265,0.2375,0.2521957340025094,0.21052631578947367,1.640222049791983
maximum_box_of_laplace_box_of_gaussian_blur=1,0.1,0.195,0.215,0.1575,0.17189460476787954,0.17016467549241202,1.0095592802602915
gaussian_blur=18,0.0,0.22,0.285,0.29375,0.2572145545796738,0.2793025508556668,1.3352671054353407
difference_of_gaussian=2,0.15,0.135,0.12,0.16,0.178168130489335,0.18308040038747175,0.9262485308768068
