,0,1,2,3,sum
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.37,0.165,0.22,0.1825,0.9375
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.45,0.345,0.2475,0.29375,1.33625
maximum_box_of_laplace_box_of_gaussian_blur=1,0.18,0.185,0.17,0.1875,0.7225
gaussian_blur=18,0.0,0.305,0.3625,0.33625,1.00375
