,0,1,2,3,4,sum
top_hat_box_of_gaussian_blur=3,0.3,0.12,0.1225,0.11264080100125157,0.10712035286704474,0.7622611538682964
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.16,0.175,0.1075,0.1251564455569462,0.12350346565847511,0.6911599112154213
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.17,0.2,0.185,0.21401752190237797,0.19659735349716445,0.9656148753995424
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.125,0.195,0.16645807259073842,0.17328292375551355,0.709740996346252
difference_of_gaussian=4,0.32,0.21,0.1625,0.15519399249061328,0.17265280403276623,1.0203467965233795
gaussian_blur=18,0.0,0.17,0.2275,0.2265331664580726,0.22684310018903592,0.8508762666471086
