,0,1,2,3,4,sum
top_hat_box=5,0.28,0.13,0.0975,0.11875,0.10012594458438287,0.7263759445843829
top_hat_box_of_gaussian_blur=3,0.27,0.15,0.14,0.13875,0.13161209068010077,0.8303620906801008
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.12,0.16,0.2325,0.21875,0.22858942065491183,0.9598394206549119
difference_of_gaussian=4,0.28,0.19,0.22,0.1725,0.16876574307304787,1.0312657430730479
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.05,0.2,0.0875,0.10875,0.1309823677581864,0.5772323677581864
maximum_box_of_laplace_box_of_gaussian_blur=1,0.0,0.17,0.2225,0.2425,0.23992443324937027,0.8749244332493703
