,0,1,2,3,4,5,sum
top_hat_box=5,0.25,0.14,0.1125,0.11875,0.10810810810810811,0.11258492397282432,0.8419430320809325
top_hat_box_of_gaussian_blur=3,0.16,0.115,0.1125,0.125,0.11125078566939033,0.10773212552571983,0.7314829111951101
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.12,0.205,0.1675,0.195,0.20175989943431805,0.20381753477838888,1.093077434212707
maximum_box_of_laplace_box_of_gaussian_blur=1,0.07,0.115,0.1825,0.17125,0.1715901948460088,0.18020058233581365,0.8905407771818226
difference_of_gaussian=4,0.4,0.24,0.1975,0.18375,0.17096165933375235,0.16564218699450017,1.3578538463282526
gaussian_blur=18,0.0,0.185,0.2275,0.20625,0.2363293526084224,0.23002264639275316,1.0851019990011754
