,0,1,2,3,4,sum
gaussian_blur=18,0.0,0.09,0.225,0.2165206508135169,0.20491803278688525,0.7364386836004021
top_hat_box=5,0.25,0.13,0.1025,0.10137672090112641,0.09520807061790669,0.6790847915190331
top_hat_box_of_gaussian_blur=3,0.17,0.12,0.1,0.12265331664580725,0.09457755359394704,0.6072308702397543
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.14,0.16,0.175,0.16520650813516896,0.16960907944514503,0.809815587580314
difference_of_gaussian=4,0.3,0.23,0.1425,0.14643304130162704,0.1494325346784363,0.9683655759800633
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.13,0.105,0.0825,0.09887359198998748,0.1223203026481715,0.538693894638159
maximum_box_of_laplace_box_of_gaussian_blur=1,0.01,0.165,0.1725,0.14893617021276595,0.16393442622950818,0.6603705964422741
