,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.29,0.135,0.1475,0.14267834793491865,0.13316582914572864,0.11649550706033376,0.964839684140981
laplace_box_of_top_hat_box_of_gaussian_blur=5,0.31,0.19,0.255,0.19899874843554444,0.21922110552763818,0.20218228498074453,1.3754021389439273
maximum_box_of_top_hat_box_of_gaussian_blur=1,0.18,0.135,0.0975,0.11639549436795996,0.11243718592964824,0.1277278562259307,0.7690605365235388
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.225,0.1675,0.17647058823529413,0.17525125628140703,0.191591784338896,0.9858136288555972
gaussian_blur=20,0.0,0.16,0.25,0.2553191489361702,0.23492462311557788,0.24037227214377407,1.1406160441955222
