,0,1,2,3,4,5,sum
top_hat_box=5,0.28,0.18,0.145,0.13375,0.12248743718592965,0.12725515463917525,0.988492591825105
top_hat_box_of_gaussian_blur=3,0.28,0.135,0.135,0.135,0.12185929648241206,0.09664948453608248,0.9035087810184946
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.19,0.19,0.1,0.11625,0.1300251256281407,0.15399484536082475,0.8802699709889654
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.17,0.175,0.1825,0.22625,0.21419597989949749,0.2110180412371134,1.1789640211366108
maximum_box_of_laplace_box_of_gaussian_blur=1,0.08,0.135,0.175,0.14375,0.18341708542713567,0.18234536082474226,0.8995124462518779
gaussian_blur=18,0.0,0.185,0.2625,0.245,0.22801507537688442,0.22873711340206185,1.1492521887789464
