,0,1,2,3,4,5,sum
top_hat_box=5,0.29,0.125,0.1275,0.10875,0.10532915360501567,0.10766773162939297,0.8642468852344087
top_hat_box_of_gaussian_blur=3,0.25,0.135,0.1425,0.1225,0.10846394984326019,0.10255591054313098,0.8610198603863911
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.04,0.135,0.1025,0.115,0.1322884012539185,0.16134185303514376,0.6861302542890624
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.17,0.255,0.155,0.2025,0.21692789968652038,0.21757188498402555,1.216999784670546
difference_of_gaussian=4,0.25,0.19,0.205,0.2075,0.16865203761755485,0.1623003194888179,1.1834523571063729
gaussian_blur=18,0.0,0.16,0.2675,0.24375,0.2683385579937304,0.2485623003194888,1.1881508583132192
