,0,1,2,3,4,5,sum
top_hat_box=5,0.31,0.21,0.1275,0.12875,0.12617702448210924,0.12818856958346786,1.030615594065577
top_hat_box_of_gaussian_blur=3,0.26,0.14,0.135,0.1075,0.11048336472065286,0.097513722957701,0.850497087678354
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.15,0.12,0.12,0.1325,0.14438166980539863,0.1514368743945754,0.818318544199974
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.16,0.195,0.2125,0.21375,0.2059008160703076,0.20277688085243784,1.1899276969227455
maximum_box_of_laplace_box_of_gaussian_blur=1,0.12,0.185,0.145,0.15,0.17325800376647835,0.17791411042944785,0.9511721141959262
gaussian_blur=18,0.0,0.15,0.26,0.2675,0.23979912115505336,0.24216984178237003,1.1594689629374235
