,0,1,2,3,4,5,sum
top_hat_box=5,0.24,0.165,0.1325,0.1276595744680851,0.11027568922305764,0.10526315789473684,0.8806984215858796
top_hat_box_of_gaussian_blur=3,0.26,0.155,0.125,0.11389236545682102,0.11340852130325814,0.11007702182284981,0.8773779085829291
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.04,0.155,0.1925,0.19899874843554444,0.19924812030075187,0.21598202824133506,1.0017288969776312
maximum_box_of_laplace_box_of_gaussian_blur=1,0.04,0.145,0.1425,0.1539424280350438,0.18483709273182958,0.167201540436457,0.8334810612033303
difference_of_gaussian=4,0.42,0.22,0.1575,0.16896120150187735,0.16353383458646617,0.17394094993581516,1.3039359860241586
gaussian_blur=18,0.0,0.16,0.25,0.23654568210262827,0.2286967418546366,0.22753530166880617,1.1027777256260711
