,avrg_d_from_gt_to_pred,avrg_d_from_pred_to_gt,HD95,surf_overlap_of_gt_surf_w_pred_surf,surf_overlap_of_pred_surf_w_gt_surf,DSCsurf,DSCvol
123,0.4475858886195697,0.38034059543713417,1.107740493075883,0.6672965380760923,0.7643677103976353,0.7124338165215014,0.8608459568547531
124,0.4065680718889598,0.30352909634565167,1.3288382143812694,0.7396734791122193,0.83481017614212,0.7841320700680086,0.8988985761071189
125,0.4498970765578655,0.2620388648025878,1.5949811911116698,0.7459710112522441,0.8928693666369463,0.8116212145635737,0.8941895084075311
126,0.4676844396646691,0.374948710383742,1.211,0.65442104957562,0.7503938099592463,0.6995156301018958,0.881052992711724
127,0.5016308976420877,0.40392398698366666,1.518068839018837,0.6602097326668322,0.7410914192725441,0.6983509939676312,0.8745194249554954
128,0.9959962517980588,0.5572534884049808,3.114,0.4332720809124061,0.5942519165810595,0.5013887439105439,0.794166531220016
129,0.6632702589941144,0.38226697180384134,2.4033928101748163,0.6311548550193121,0.7751008862780656,0.6964406100684989,0.8514144911909649
130,0.5642131271869906,0.37008625944377044,2.1117341215219305,0.6615317435484404,0.7837270492455803,0.7169624432860047,0.8756912273103427
131,0.36427387961836677,0.3169926458044277,0.9938093378510789,0.7530293050947037,0.8202188905623488,0.7847158215090334,0.910514950499018
132,0.45615591750554,0.3574280696932498,1.3947705904556493,0.7075937463566704,0.8123914460209056,0.7565853796734184,0.8858517318047093
133,0.36491108205095996,0.2879680148668633,1.038,0.7851947150511297,0.8661326921650316,0.823110503321109,0.901352620178676
134,0.5969966514804805,0.34051747142468386,2.201930516614909,0.6783135219306637,0.8395556717316277,0.7496797910390834,0.8760915780645144
135,0.6063167298884402,0.4677897718126764,1.6043359997207567,0.5497111935189655,0.65954174657143,0.5989553993857977,0.8804425476114718
136,0.35783147636277635,0.30481642633706346,0.9475600244839373,0.798440466275627,0.8619555348871455,0.8287411684696486,0.9017878003420465
137,0.3567114497574264,0.2996100542099157,0.9786357851621819,0.7665642643540928,0.8500500149451379,0.8052329979619849,0.8873612212300601
138,0.4283549972246285,0.34608761187642284,1.3288382143812694,0.7085149724109729,0.7906246781845144,0.7466177446991596,0.8938420800979764
139,0.4803581863487688,0.28193645713821686,1.6320787358457927,0.7006611839699386,0.8667207592354286,0.7737991346957632,0.8826384619537674
140,0.44696768354003635,0.3425486273193437,1.437045928284827,0.7267473088087758,0.8193280569366812,0.7699322317921035,0.8880450787270552
141,0.45701347715460977,0.33835376243346893,1.557,0.7001884749335024,0.7944879780235364,0.7440176767725128,0.8890696744069406
142,0.7763698747906234,0.4284967823414581,2.6463911275546557,0.5479330678734826,0.7225897656751831,0.622163375066854,0.837426574490061
143,0.5707815516924658,0.3405225112271807,2.139891819695566,0.6774047104827922,0.8196928553882777,0.7411288945527713,0.8662545658892947
144,0.43985905339270376,0.3036678520966511,1.4882022711983744,0.7457203418665341,0.8492080098114787,0.792773145201144,0.8992050359976761
145,0.38352259929868765,0.3136966949434435,1.2232947314527272,0.7689827255719314,0.83979278349291,0.8022461972153254,0.9086245447117749
146,0.48361550633783146,0.3382144127406274,1.557,0.7180526307882709,0.8235882687783458,0.7668282782560264,0.8884399192481116
147,0.3038081706867535,0.25323503989433443,0.8821303758515517,0.8416781857929949,0.9056970680626947,0.8719028436474159,0.9159463628294117
148,0.42852677464031996,0.3090759894666282,1.604335999720757,0.7492001731728148,0.8535473231966824,0.7971429225967762,0.9071716540122078
149,0.4929023668085858,0.36233681529542644,1.557,0.689667281940133,0.7999413530352198,0.7406005968206214,0.9047354777597408
150,0.33522577915401797,0.32095919158130065,0.7736795202149273,0.812585481564703,0.8518719293837413,0.8315465408670029,0.9052512689179053
151,0.3049391147333626,0.257214416935268,0.9475600244839373,0.843534996048728,0.9038381366278999,0.8721987700169174,0.9155215546250964
152,0.3486983910756316,0.29348075815197666,1.0941480704182593,0.7734543929677722,0.8366831416711199,0.8030877504457878,0.9226799782563757
153,0.34038551939022804,0.22640661762315048,1.211,0.802040320546445,0.9179671418035098,0.8546851096813876,0.9120435057950764
154,0.3450711723157167,0.3041867284722667,0.8821303758515517,0.8114945485643537,0.8707448703470201,0.8399353416550934,0.9108919897126073
155,0.2579097284341317,0.23188421233268877,0.6920000000000001,0.8904991088602262,0.9359973059447138,0.9119267039544409,0.9309041256967968
156,0.8587841331395366,0.4123159436904798,3.1946500590831546,0.5637502575376943,0.7485943840727133,0.6412234566982618,0.838003284726024
157,0.5352067337912706,0.3763129811958298,1.4882022711983744,0.6137232827075273,0.7492484912150381,0.672729417965034,0.8697617907169644
158,0.32185174928340887,0.2639817889209156,0.8821303758515517,0.8030038048715156,0.8883939868493284,0.8427015187643296,0.9235797124956915
159,0.5052133359226302,0.3205689971401606,1.8390152256030943,0.7120046703898341,0.8397391057298927,0.7692000443657466,0.8922829455638136
160,1.0758933403684903,0.5004539140980575,4.609727757688082,0.5772625409891174,0.7467815460070988,0.650291047616534,0.8344516024939208
161,0.31161663606745144,0.28376096985034555,0.8650000000000001,0.8226369109367019,0.8701866919585759,0.8454944570868906,0.9260969512113311
162,0.8380005422934582,0.6027999893294901,2.778791463928159,0.5466118128543727,0.6427851614364835,0.5898285954065731,0.8467347324150751
163,0.30632630929753474,0.2959346436441476,0.7339768388716365,0.8522424490415389,0.8839348746916498,0.8678021149738081,0.9159798014881708
164,0.3141656588781982,0.2477411380240517,0.9316335116342692,0.8287204061760698,0.9025585994797091,0.8636478178552863,0.9154342729525228
165,0.3371375289048504,0.26627077163426094,1.066443622513633,0.8001335218038352,0.882448650473958,0.8386353000668167,0.9252435613002797
166,0.8903232086277947,0.28630986144875226,4.905396620050207,0.6571600129760578,0.8733351614417091,0.7486577260665791,0.8600391941679079
167,1.3259671746022053,0.4432249072737394,4.911494070036123,0.5584173908884843,0.8061824059381187,0.6591447551172501,0.7669326331723217
168,0.34986358562612546,0.29286167040523375,0.8821303758515519,0.7802752827245062,0.8667891727562103,0.8203984956418315,0.915744251968504
169,0.6935272546306007,0.4579747252099136,2.1538326304520505,0.5460569989447067,0.691480653849848,0.6089979398132548,0.8523827108542377
170,0.49043005668493306,0.32160027389218415,1.5949811911116698,0.6749708328209896,0.812890257732895,0.7361335401109984,0.8859391586255702
