,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.23,0.095,0.1375,0.14,0.12264150943396226,0.10943517329910141,0.8345766827330636
laplace_box_of_top_hat_box_of_gaussian_blur=5,0.35,0.195,0.1875,0.18625,0.17861635220125785,0.16014120667522463,1.2575075588764824
maximum_box_of_top_hat_box_of_gaussian_blur=1,0.1,0.135,0.08,0.0875,0.08553459119496855,0.0975609756097561,0.5855955668047246
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.16,0.1675,0.15375,0.16792452830188678,0.17458279845956354,0.8737573267614502
gaussian_blur=20,0.0,0.115,0.2125,0.2225,0.2188679245283019,0.21213093709884467,0.9809988616271466
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.2,0.17,0.11,0.12125,0.1270440251572327,0.1370346598202824,0.865328684977515
