,0,1,2,3,4,5,sum
top_hat_box=5,0.21,0.14,0.1075,0.09875,0.11069182389937107,0.12310177705977383,0.7900436009591448
top_hat_box_of_gaussian_blur=3,0.2,0.15,0.1225,0.12125,0.10817610062893082,0.09337641357027464,0.7953025141992054
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.13,0.215,0.175,0.21,0.1968553459119497,0.20193861066235863,1.1287939565743084
maximum_box_of_laplace_box_of_gaussian_blur=1,0.11,0.16,0.15,0.14875,0.17672955974842766,0.17350565428109854,0.9189852140295263
difference_of_gaussian=4,0.35,0.165,0.195,0.19625,0.18176100628930816,0.18190630048465267,1.2699173067739609
gaussian_blur=18,0.0,0.17,0.25,0.225,0.22578616352201258,0.22617124394184168,1.0969574074638544
