,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.24,0.155,0.1525,0.17125,0.14554579673776663,0.1239193083573487,0.9882151050951153
laplace_box_of_top_hat_box_of_gaussian_blur=5,0.38,0.185,0.205,0.2325,0.22772898368883313,0.19756644252321487,1.427795426212048
maximum_box_of_top_hat_box_of_gaussian_blur=1,0.13,0.175,0.0875,0.08875,0.10602258469259725,0.11847582452769773,0.705748409220295
maximum_box_of_laplace_box_of_gaussian_blur=1,0.07,0.18,0.2,0.1625,0.17565872020075282,0.1946845981428114,0.9828433183435642
gaussian_blur=20,0.0,0.15,0.265,0.255,0.2383939774153074,0.2430355427473583,1.1514295201626659
