,0,1,2,3,sum
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.31,0.205,0.1875,0.18,0.8825000000000001
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.53,0.285,0.2375,0.285,1.3375
maximum_box_of_laplace_box_of_gaussian_blur=1,0.16,0.225,0.1825,0.17625,0.74375
gaussian_blur=18,0.0,0.285,0.3925,0.35875,1.03625
