,0,1,2,3,4,sum
top_hat_box_of_gaussian_blur=3,0.24,0.145,0.1275,0.115,0.09912170639899624,0.7266217063989961
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.2,0.105,0.08,0.12375,0.1398996235884567,0.6486496235884567
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.17,0.18,0.235,0.1925,0.2051442910915935,0.9826442910915935
maximum_box_of_laplace_box_of_gaussian_blur=1,0.07,0.18,0.1575,0.13875,0.16122961104140526,0.7074796110414052
difference_of_gaussian=4,0.32,0.2,0.1725,0.155,0.1606022584692597,1.0081022584692598
gaussian_blur=18,0.0,0.19,0.2275,0.275,0.23400250941028858,0.9265025094102886
