,0,1,2,3,sum
maximum_box_of_laplace_box_of_gaussian_blur=1,0.42,0.305,0.305,0.335,1.365
gaussian_blur=18,0.32,0.315,0.3375,0.3225,1.295
difference_of_gaussian=2,0.26,0.38,0.3575,0.3425,1.34
