,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.54,0.305,0.2875,0.23959646910466584,0.21266968325791855,0.16972789115646258,1.7544940435190468
maximum_box_of_laplace_box_of_gaussian_blur=1,0.23,0.26,0.165,0.23581336696090793,0.2689075630252101,0.3040816326530612,1.463802562639179
gaussian_blur=20,0.0,0.175,0.285,0.26229508196721313,0.2682611506140918,0.27346938775510204,1.2640256203364069
maximum_box_of_laplace_box_of_gaussian_blur=5,0.23,0.26,0.2625,0.26229508196721313,0.2501616031027796,0.25272108843537416,1.5176777735053668
