,0,1,2,3,4,sum
top_hat_box=5,0.19,0.15,0.1225,0.095,0.09239472030169704,0.649894720301697
top_hat_box_of_gaussian_blur=3,0.25,0.125,0.1075,0.1325,0.1181646763042112,0.7331646763042112
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.17,0.215,0.2075,0.23375,0.21244500314267756,1.0386950031426776
difference_of_gaussian=4,0.34,0.185,0.24,0.1825,0.19421747328724073,1.1417174732872408
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.05,0.185,0.095,0.10875,0.1357636706473916,0.5745136706473916
maximum_box_of_laplace_box_of_gaussian_blur=1,0.0,0.14,0.2275,0.2475,0.2470144563167819,0.8620144563167819
