,0,1,2,3,4,5,sum
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.3,0.195,0.17,0.135,0.15326633165829145,0.1676300578034682,1.1208963894617596
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.43,0.28,0.2225,0.2475,0.21545226130653267,0.22864482980089917,1.6240970911074317
maximum_box_of_laplace_box_of_gaussian_blur=1,0.1,0.225,0.17,0.1725,0.19409547738693467,0.17341040462427745,1.035005882011212
gaussian_blur=18,0.0,0.17,0.2825,0.29625,0.2613065326633166,0.2546563904945408,1.2647129231578575
difference_of_gaussian=2,0.17,0.13,0.155,0.14875,0.17587939698492464,0.17565831727681439,0.955287714261739
