,0,1,2,3,4,5,6,sum
top_hat_box=5,0.24,0.155,0.1075,0.0975,0.08673790069138906,0.09511568123393316,0.09668508287292818,0.8785386647982505
top_hat_box_of_gaussian_blur=3,0.22,0.105,0.0875,0.0975,0.10873664362036455,0.09125964010282776,0.08736187845303868,0.7973581621762309
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.1,0.13,0.0775,0.105,0.12507856693903205,0.11889460154241645,0.14278314917127072,0.7992563176527192
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.16,0.17,0.1625,0.17875,0.17724701445631677,0.16998714652956298,0.17593232044198895,1.1944164814278686
maximum_box_of_laplace_box_of_gaussian_blur=1,0.03,0.15,0.1825,0.15,0.15210559396605908,0.1712724935732648,0.15486878453038674,0.9907468720697106
difference_of_gaussian=4,0.25,0.14,0.165,0.16,0.14707730986800754,0.16002570694087404,0.150207182320442,1.1723101991293239
gaussian_blur=18,0.0,0.15,0.2175,0.21125,0.20301697045883094,0.19344473007712082,0.19216160220994474,1.1673733027458966
