,0,1,2,3,4,5,sum
top_hat_box=5,0.23,0.145,0.125,0.1125,0.1122961104140527,0.12564599483204134,0.8504421052460941
top_hat_box_of_gaussian_blur=3,0.22,0.105,0.115,0.13125,0.11794228356336262,0.1078811369509044,0.797073420514267
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.12,0.16,0.1775,0.22125,0.20075282308657466,0.19670542635658914,1.0762082494431637
maximum_box_of_laplace_box_of_gaussian_blur=1,0.08,0.145,0.1725,0.15125,0.16122961104140526,0.1731266149870801,0.8831062260284852
difference_of_gaussian=4,0.35,0.23,0.1625,0.17,0.16624843161856964,0.1812015503875969,1.2599499820061664
gaussian_blur=18,0.0,0.215,0.2475,0.21375,0.24153074027603513,0.21543927648578812,1.1332200167618234
