,0,1,2,3,4,5,sum
top_hat_box=5,0.32,0.14,0.135,0.09625,0.09302325581395349,0.09490221224751523,0.8791754680614686
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.13,0.14,0.0925,0.10875,0.1357636706473916,0.13722346906059635,0.744237139707988
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.22,0.18,0.2225,0.2125,0.19924575738529227,0.2061558191728118,1.2404015765581042
maximum_box_of_laplace_box_of_gaussian_blur=1,0.07,0.155,0.175,0.14875,0.1759899434318039,0.16447579352356526,0.8892157369553693
difference_of_gaussian=4,0.26,0.205,0.1675,0.17,0.14896291640477688,0.17665918563642194,1.128122102041199
gaussian_blur=18,0.0,0.18,0.2075,0.26375,0.2470144563167819,0.22058352035908946,1.1188479766758712
