,0,1,2,3,4,sum
top_hat_box=5,0.25,0.165,0.1325,0.07875,0.09490886235072282,0.7211588623507229
top_hat_box_of_gaussian_blur=3,0.18,0.115,0.15,0.13125,0.11753614079195475,0.6937861407919547
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.2,0.175,0.23,0.2475,0.19924575738529227,1.0517457573852922
difference_of_gaussian=4,0.34,0.215,0.1775,0.175,0.19421747328724073,1.1017174732872408
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.03,0.17,0.1,0.12,0.1552482715273413,0.5752482715273414
maximum_box_of_laplace_box_of_gaussian_blur=1,0.0,0.16,0.21,0.2475,0.23884349465744814,0.8563434946574481
