,0,1,2,3,sum
maximum_box_of_laplace_box_of_gaussian_blur=1,0.41,0.365,0.3625,0.33125,1.46875
gaussian_blur=18,0.34,0.275,0.335,0.3475,1.2974999999999999
difference_of_gaussian=2,0.25,0.36,0.3025,0.32125,1.23375
