,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.22,0.15,0.1175,0.12640801001251564,0.12075471698113208,0.11211340206185567,0.8467761290555034
laplace_box_of_top_hat_box_of_gaussian_blur=5,0.25,0.155,0.1975,0.21151439299123906,0.18805031446540882,0.16978092783505155,1.1718456352916995
maximum_box_of_top_hat_box_of_gaussian_blur=1,0.13,0.095,0.125,0.08886107634543179,0.09245283018867924,0.10051546391752578,0.6318293704516368
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.195,0.1675,0.13141426783479349,0.15157232704402515,0.16623711340206185,0.8617237082808804
gaussian_blur=20,0.0,0.185,0.1875,0.2390488110137672,0.22075471698113208,0.21681701030927836,1.0491205383041777
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.21,0.105,0.1225,0.11264080100125157,0.13836477987421383,0.13208762886597938,0.8205932097414448
