,avrg_d_from_gt_to_pred,avrg_d_from_pred_to_gt,HD95,surf_overlap_of_gt_surf_w_pred_surf,surf_overlap_of_pred_surf_w_gt_surf,DSCsurf,DSCvol
114,0.30365542423646225,0.28391069588891005,0.7132972732318553,0.8451482073657501,0.8859584039689732,0.8642518070203224,0.9349257881335927
115,0.2370513378838876,0.2041436672284948,0.7132972732318553,0.8990065885773891,0.9527687324413701,0.9245407100782369,0.9387470939990303
116,0.8836257823254112,0.4966179019712884,3.1805663017770907,0.4597919034124115,0.6263813401306807,0.528303109359905,0.7962787678827379
117,0.46767334793910503,0.32110592999402393,1.5473590404298545,0.6932654910466457,0.8132931858217041,0.7460607859860355,0.8853614013410733
118,0.5173496175123367,0.3221299100835135,1.8632670232685384,0.6979470403299268,0.8276181443774487,0.7560216247546018,0.8769922586520947
119,0.6240378173282357,0.38601231814770925,2.275459733768102,0.5945136589547949,0.7349371039036966,0.65677781168662,0.8298243870583057
120,0.5601527772269962,0.3343977197681379,2.201930516614909,0.7012976724403611,0.8482741710213024,0.7681379223166921,0.8799356460415915
121,0.5139618683602741,0.34675779856075867,1.7126126240338182,0.6847319295066656,0.8001863530415385,0.7363289363015364,0.9036292432745033
122,0.3954507844223857,0.3315418732801979,1.066443622513633,0.7597045222214077,0.8262006305367975,0.7913815689973298,0.8855365251171038
123,0.29580349362696085,0.25320401959292826,0.7736795202149273,0.846949561164174,0.9230861897740353,0.8827417233483198,0.9039081307087158
124,0.3328815682292541,0.26518381475163694,1.0087546778082372,0.8089804982374756,0.8936626135319448,0.8487585125326569,0.9136401819077137
125,0.4531888526397597,0.2780162825728318,1.738628482453914,0.7679126356846477,0.868992343966563,0.8142199456902846,0.8933571116166633
126,0.3361836478577944,0.3022055784831889,0.8475234510029797,0.8258883564470572,0.882220606440001,0.8528861585644334,0.9096061369361117
127,0.39256077213695817,0.3225023352142513,1.1605192803223907,0.7568039579474668,0.8363152437032069,0.7943960139855284,0.8981703020818654
128,0.6468352116319865,0.3970781417728204,2.2222252361090677,0.6077127138892342,0.7628127542308614,0.6759269426674593,0.8598078234455396
129,0.5992241279889748,0.36398359904448907,2.1538326304520505,0.6797003911748879,0.8046293180877678,0.7370868809048452,0.8632297846562046
130,0.33055105722437544,0.27211130121835314,0.9786357851621819,0.8047068040219085,0.8771686890721678,0.8387530911690412,0.9153415628863604
131,0.5421005524982984,0.41423286104078355,1.7038523997107262,0.6306303321319849,0.7295135412673268,0.6764482510971835,0.8767105383539622
132,0.43824372184980737,0.3401114655914776,1.2232947314527272,0.7009075652180734,0.8135023512545974,0.7527531167010685,0.8892586351459798
133,0.3076915338154086,0.26869298047344514,0.8650000000000001,0.8378944701351864,0.8931765878502118,0.8643642096556926,0.9096337173617562
134,0.7102309094495028,0.3516043579395662,2.9914496485817708,0.6379730254992313,0.8143602713675154,0.7147915061737175,0.8636183034236143
135,0.5604194470330953,0.4435343077792642,1.467953677743273,0.5688143568740021,0.6769978026794679,0.6173342598459209,0.8860587717054594
136,0.41672641029439134,0.36661914208314805,1.2712851765044695,0.7422567938274588,0.8014512519834743,0.7702626925548571,0.8827105986830487
137,0.27410726133922,0.24946722159508475,0.7132972732318553,0.875623592938598,0.9269323340200868,0.8997218288080485,0.9069884711294701
138,0.3105104643418558,0.2653100532226411,0.8821303758515517,0.8177047614134639,0.8863254617774156,0.8501394479157235,0.9188382439579341
139,0.4792019325316853,0.276177807539583,1.6772972306660499,0.7339428153270897,0.8840449070379418,0.8008162516568219,0.8867287007905672
140,0.3083374668702273,0.26496592934710556,0.865,0.8518580791741286,0.9102672712826967,0.8796282758376298,0.9178624189692375
141,0.44920141127652974,0.3618071194482179,1.4054586440020211,0.689825239777541,0.7536626002247041,0.7198038011127609,0.8902796439488785
142,0.6505897312703108,0.3915205904670951,2.2754597337681015,0.5932059162659805,0.7371501891414614,0.6558105711695563,0.8549147601322207
143,0.55241219729522,0.35795148689637835,2.076,0.6898224970094355,0.7949718276720216,0.7379326400212317,0.8675991871683074
144,0.3501878353859744,0.2755580390169916,1.038,0.7858672900834723,0.8658128424756831,0.822772627076251,0.9129852744310576
145,0.624584293577973,0.4440658275633469,2.090366953431861,0.5991945735447878,0.7096951206567544,0.6492612446416135,0.864100799265828
146,0.49032653104942375,0.33441462582269393,1.7126126240338182,0.6993742655095524,0.8284000533301653,0.7576549421431974,0.8873659808291299
147,0.2788016261598901,0.24616053302113383,0.7540895172325365,0.8543101573045552,0.9130791828545737,0.8822993891055063,0.9184770720786132
148,0.3977358577400847,0.32846137672062264,1.160519280322391,0.7284148061465545,0.8136002461145706,0.7682107610929683,0.9069918128654971
149,0.38878880097386576,0.3321595675922103,1.038,0.7472564987013005,0.8159925233844103,0.7794989232775975,0.9171905854820422
150,0.3587718855741116,0.3371034470614957,0.865,0.7939462090806906,0.8278776800155624,0.8102226538712151,0.8997673934175809
151,0.36778883427426096,0.3207803925709881,0.9786357851621819,0.7570708423743654,0.8226236373354953,0.7882183626138856,0.8939376600622689
152,0.3480627375161511,0.3360061556579153,0.9786357851621819,0.7706849032009848,0.800518824072614,0.7850946638506346,0.9189186927404457
153,0.36127237872966345,0.267836644253733,1.066443622513633,0.769272095563579,0.8640326062979721,0.8128608206537987,0.9031691686419103
154,0.32767339186080036,0.29587269017888196,0.8650000000000001,0.8149757576141634,0.8602195748252176,0.8366479652313259,0.9125501442904751
155,0.3226569424137859,0.3084696293914138,0.865,0.8050967527724194,0.8423933655693456,0.8229018670427622,0.9147707582881126
156,0.647914667726535,0.3931126163038604,2.3530543980112317,0.6026325939625481,0.7308277898304912,0.6585288673231566,0.8619131028979352
157,0.5525510239067987,0.3851915566338132,1.557,0.6052145661105353,0.7508240904721278,0.6684835210879935,0.8692862939636746
158,0.28573710720969075,0.24054614818076261,0.8650000000000001,0.8499005840872499,0.9132097308637166,0.8798723238257219,0.9308694075286252
159,0.6977866555151734,0.4111458448585407,2.275459733768102,0.5648924776568994,0.7319232266797407,0.6367005169056618,0.8540460374034555
160,0.7457201614277266,0.5459266553489682,2.249,0.5015293454731424,0.6155710558746682,0.5519333687401992,0.8516392171774614
161,0.3309746582071454,0.2889074663671937,1.066443622513633,0.8230837734583086,0.8728943474699563,0.8467130505444102,0.9230344840216517
