,0,1,2,3,4,5,sum
top_hat_box=5,0.24,0.16,0.1375,0.1276595744680851,0.1190176322418136,0.11332904056664521,0.8975062472765439
top_hat_box_of_gaussian_blur=3,0.19,0.125,0.0975,0.10137672090112641,0.11272040302267003,0.10688989053444946,0.7334870144582458
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.16,0.2,0.1525,0.1639549436795995,0.19395465994962216,0.21216999356084998,1.0825795971900716
maximum_box_of_laplace_box_of_gaussian_blur=1,0.04,0.175,0.1975,0.18147684605757197,0.15869017632241814,0.16806181584030908,0.9207288382202992
difference_of_gaussian=4,0.37,0.2,0.165,0.17897371714643304,0.17758186397984888,0.1780424983902125,1.2695980795164945
gaussian_blur=18,0.0,0.14,0.25,0.246558197747184,0.2380352644836272,0.2215067611075338,1.096100223338345
