,0,1,2,3,4,5,sum
top_hat_box=5,0.27,0.14,0.125,0.12875,0.10826032540675845,0.11000959385992964,0.8820199192666882
top_hat_box_of_gaussian_blur=3,0.27,0.14,0.12,0.1325,0.11827284105131414,0.10905020786696515,0.8898230489182793
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.1,0.14,0.1075,0.1275,0.13141426783479349,0.15701950751519028,0.7634337753499838
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.1,0.23,0.1975,0.205,0.21964956195244056,0.20626798848736808,1.1584175504398087
difference_of_gaussian=4,0.26,0.185,0.24,0.17,0.155819774718398,0.16693316277582348,1.1777529374942215
gaussian_blur=18,0.0,0.165,0.21,0.23625,0.2665832290362954,0.25071953949472336,1.1285527685310188
