,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.47,0.385,0.26,0.26574307304785894,0.19161290322580646,0.18409324648611589,1.7564492227597812
maximum_box_of_laplace_box_of_gaussian_blur=1,0.18,0.245,0.175,0.24055415617128464,0.2658064516129032,0.29962290023997257,1.4059835080241605
gaussian_blur=20,0.0,0.14,0.2725,0.23425692695214106,0.2929032258064516,0.27733973260198835,1.2169998853605812
maximum_box_of_laplace_box_of_gaussian_blur=5,0.35,0.23,0.2925,0.2594458438287154,0.2496774193548387,0.23894412067192322,1.6205673838554773
