,0,1,2,3,4,sum
top_hat_box_of_gaussian_blur=3,0.19,0.12,0.12,0.1125,0.10664993726474278,0.6491499372647428
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.16,0.155,0.0875,0.12375,0.12797992471769135,0.6542299247176914
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.2,0.275,0.1725,0.20375,0.19008782936010038,1.0413378293601003
maximum_box_of_laplace_box_of_gaussian_blur=1,0.12,0.18,0.165,0.13,0.17440401505646172,0.7694040150564617
difference_of_gaussian=4,0.33,0.13,0.1975,0.1875,0.17001254705144292,1.0150125470514428
gaussian_blur=18,0.0,0.14,0.2575,0.2425,0.23086574654956085,0.8708657465495608
