,0,1,2,3,4,5,sum
top_hat_box=5,0.34,0.185,0.12,0.10625,0.10707576706324358,0.10543130990415335,0.963757076967397
top_hat_box_of_gaussian_blur=3,0.13,0.16,0.105,0.14125,0.11333750782717596,0.11054313099041534,0.7601306388175914
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.08,0.2,0.09,0.10375,0.1327489041953663,0.15527156549520768,0.761770469690574
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.14,0.19,0.245,0.21625,0.19787100814026298,0.21214057507987222,1.2012615832201352
difference_of_gaussian=4,0.31,0.145,0.2325,0.17125,0.17658108954289292,0.165814696485623,1.201145786028516
gaussian_blur=18,0.0,0.12,0.2075,0.26125,0.27238572323105825,0.2507987220447284,1.1119344452757867
