,0,1,2,3,sum
maximum_box_of_laplace_box_of_gaussian_blur=1,0.3,0.29,0.3625,0.315,1.2674999999999998
gaussian_blur=18,0.43,0.345,0.335,0.3425,1.4525
difference_of_gaussian=2,0.27,0.365,0.3025,0.3425,1.28
