,0,1,2,3,4,5,sum
top_hat_box=5,0.26,0.105,0.0925,0.11625,0.0785175879396985,0.09450337512054002,0.7467709630602386
top_hat_box_of_gaussian_blur=3,0.12,0.11,0.1275,0.10375,0.1092964824120603,0.08839601414336226,0.6589424965554226
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.12,0.095,0.08,0.0875,0.12311557788944724,0.1359691417550627,0.6415847196445099
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.18,0.165,0.185,0.155,0.18969849246231155,0.1800064288010286,1.0547049212633401
maximum_box_of_laplace_box_of_gaussian_blur=1,0.08,0.135,0.1475,0.15375,0.14321608040201006,0.14721954355512698,0.8066856239571372
difference_of_gaussian=4,0.24,0.195,0.165,0.1725,0.15326633165829145,0.15300546448087432,1.0787717961391656
gaussian_blur=18,0.0,0.195,0.2025,0.21125,0.2028894472361809,0.20090003214400515,1.012539479380186
