,0,1,2,3,4,5,sum
top_hat_box=5,0.26,0.19,0.0925,0.12,0.11460957178841309,0.11534733441033926,0.8924569061987524
top_hat_box_of_gaussian_blur=3,0.23,0.105,0.135,0.105,0.10768261964735516,0.09693053311793215,0.7796131527652874
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.18,0.16,0.19,0.19625,0.20717884130982367,0.21195476575121164,1.1453836070610355
maximum_box_of_laplace_box_of_gaussian_blur=1,0.03,0.18,0.1725,0.15875,0.16120906801007556,0.16833602584814217,0.8707950938582176
difference_of_gaussian=4,0.3,0.19,0.205,0.1725,0.17002518891687657,0.17609046849757673,1.2136156574144532
gaussian_blur=18,0.0,0.175,0.205,0.2475,0.23929471032745592,0.23134087237479806,1.0981355827022539
