,0,1,2,3,4,5,6,7,sum
top_hat_box_of_gaussian_blur=3,0.3,0.075,0.1375,0.1175,0.11006289308176101,0.11289803795432615,0.09829351535836177,0.09991419582419678,1.0511686422186457
laplace_box_of_top_hat_box_of_gaussian_blur=5,0.23,0.165,0.2325,0.1825,0.1811320754716981,0.17851399163718237,0.16313993174061434,0.1516827152254743,1.484468714074969
maximum_box_of_top_hat_box_of_gaussian_blur=1,0.14,0.155,0.085,0.095,0.07547169811320754,0.09906722418784175,0.1052901023890785,0.1177423967966441,0.8725714214867719
maximum_box_of_laplace_box_of_gaussian_blur=1,0.03,0.155,0.135,0.14,0.16037735849056603,0.15889353489868124,0.1718430034129693,0.1654113833539899,1.1165252801562064
gaussian_blur=20,0.0,0.15,0.2075,0.2275,0.25157232704402516,0.21003538115149567,0.21450511945392492,0.1968729144818381,1.4579857421312838
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.2,0.175,0.1275,0.13125,0.1169811320754717,0.1392730781601801,0.13532423208191127,0.15196872914481838,1.1772971714623814
