,0,1,2,3,4,5,sum
top_hat_box=5,0.24,0.135,0.145,0.1113892365456821,0.09786700125470514,0.10115606936416185,0.8304123071645492
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.14,0.15,0.1275,0.11013767209011265,0.12358845671267252,0.13872832369942195,0.7899544525022071
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.21,0.21,0.195,0.17521902377972465,0.19510664993726473,0.19910083493898523,1.1844265086559744
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.175,0.145,0.17521902377972465,0.1587202007528231,0.17533718689788053,0.8792764114304283
difference_of_gaussian=4,0.36,0.18,0.1525,0.18648310387984982,0.19259723964868256,0.16506101477199744,1.2366413583005298
gaussian_blur=18,0.0,0.15,0.235,0.24155193992490614,0.23212045169385195,0.220616570327553,1.079288961946311
