,0,1,2,3,sum
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.41,0.34,0.32,0.3075,1.3775
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.25,0.25,0.35,0.34375,1.19375
gaussian_blur=18,0.34,0.41,0.33,0.34875,1.42875
