,avrg_d_from_gt_to_pred,avrg_d_from_pred_to_gt,HD95,surf_overlap_of_gt_surf_w_pred_surf,surf_overlap_of_pred_surf_w_gt_surf,DSCsurf,DSCvol,avrg_d_from_gt_to_pred,avrg_d_from_pred_to_gt,HD95,surf_overlap_of_gt_surf_w_pred_surf,surf_overlap_of_pred_surf_w_gt_surf,DSCsurf,DSCvol,avrg_d_from_gt_to_pred,avrg_d_from_pred_to_gt,HD95,surf_overlap_of_gt_surf_w_pred_surf,surf_overlap_of_pred_surf_w_gt_surf,DSCsurf,DSCvol
0,0.5287094578262044,0.47172189877598286,0.8475234510029797,0.4629798510195969,0.5894550545358415,0.5201620227559783,0.8422209052462678,0.5287094578262044,0.47172189877598286,0.8475234510029797,0.4629798510195969,0.5894550545358415,0.5201620227559783,0.8422209052462678,0.5195647451327341,0.4589290680646826,0.8475234510029797,0.49517627741677245,0.6372563883922212,0.5591184532642101,0.8453628269529172
1,0.4973071393477405,0.4519787227910217,0.7927855952273603,0.5613713694676071,0.6721666465701384,0.6117849103699019,0.8533563189370867,0.4973071393477405,0.4519787227910217,0.7927855952273603,0.5613713694676071,0.6721666465701384,0.6117849103699019,0.8533563189370867,0.48506247540137637,0.4376039579098166,0.7927855952273603,0.6048878745917591,0.7298507551285298,0.6615679480588426,0.8573262192593412
2,0.5305366981182392,0.46289896907369504,0.9316335116342692,0.5484658853180382,0.7072608892935403,0.6174145986960512,0.8521020495221602,0.5305366981182392,0.46289896907369504,0.9316335116342692,0.5484658853180382,0.7072608892935403,0.6174145986960512,0.8521020495221602,0.5151547962890689,0.4500053487592936,0.9316335116342692,0.5874715292085967,0.7465013501360469,0.6565998448548341,0.8559807445578989
3,0.48401730653599595,0.4304664132081215,0.8114419264494533,0.6090355169151144,0.7549526975883494,0.6721036269483707,0.8610122058855187,0.48401730653599595,0.4304664132081215,0.8114419264494533,0.6090355169151144,0.7549526975883494,0.6721036269483707,0.8610122058855187,0.4630296330497538,0.4122191348939462,0.7736795202149273,0.6575463425798301,0.8044260220399391,0.7215872540965198,0.8658285371317107
4,0.5389277122584095,0.47274007537081386,0.8650000000000001,0.47974792236974867,0.6298111763799559,0.5473120705275721,0.8445040457728524,0.5389277122584095,0.47274007537081386,0.8650000000000001,0.47974792236974867,0.6298111763799559,0.5473120705275721,0.8445040457728524,0.5311477913076685,0.46152101353239056,0.8650000000000001,0.5001259678053379,0.6665629185821965,0.5744450360124449,0.847447750403811
5,0.4897843572068543,0.46039136763756505,0.7927855952273603,0.5763069430191277,0.6956183091800573,0.6302882915328792,0.8605106431334872,0.4897843572068543,0.46039136763756505,0.7927855952273603,0.5763069430191277,0.6956183091800573,0.6302882915328792,0.8605106431334872,0.48101369069708544,0.43637104032203955,0.7927855952273603,0.6042341328435987,0.7347519649331902,0.6628803057152405,0.8637209406595378
6,0.5097890305186152,0.44474655997261914,0.8650000000000001,0.5819373537099853,0.7595107163913251,0.6588341828979856,0.8622636312729939,0.5097890305186152,0.44474655997261914,0.8650000000000001,0.5819373537099853,0.7595107163913251,0.6588341828979856,0.8622636312729939,0.4967919824001761,0.4327360458036499,0.865,0.6086530451565415,0.7883510540155919,0.6866740890405519,0.8652692919526741
7,0.47456528772553136,0.4212191562698694,0.7736795202149273,0.6453757073357865,0.7940386949117596,0.7102355641528327,0.8747781033345948,0.47456528772553136,0.4212191562698694,0.7736795202149273,0.6453757073357865,0.7940386949117596,0.7102355641528327,0.8747781033345948,0.45045165395829584,0.4017733922162021,0.7339768388716365,0.6996725854161955,0.8435379987820998,0.7632096404485661,0.8796139131110291
8,0.5173767144536974,0.45898761355592965,0.8650000000000001,0.5154728132253831,0.6645334063340611,0.58235948109722,0.8507433273406168,0.5173767144536974,0.45898761355592965,0.8650000000000001,0.5154728132253831,0.6645334063340611,0.58235948109722,0.8507433273406168,0.5079601619450042,0.44328908652784643,0.865,0.536482353308603,0.6984167534469737,0.6080644581624205,0.8545324480497833
9,0.50388226396632,0.4553064514727935,0.8114419264494533,0.5533943038287783,0.6866912460526718,0.6132635928134977,0.8574721436720077,0.50388226396632,0.4553064514727935,0.8114419264494533,0.5533943038287783,0.6866912460526718,0.6132635928134977,0.8574721436720077,0.49353964306853404,0.44284492968989003,0.7927855952273603,0.5812177226599946,0.7239009148304546,0.6449897734577049,0.8608765238426982
