,0,1,2,3,4,5,6,7,sum
top_hat_box_of_gaussian_blur=3,0.27,0.145,0.1325,0.13,0.10797237915881984,0.09897172236503857,0.09950755646119884,0.09751924721984602,1.0814709052049032
laplace_box_of_top_hat_box_of_gaussian_blur=5,0.19,0.145,0.2025,0.2075,0.1933458882611425,0.18669665809768637,0.15961962981830533,0.1597756867217945,1.4444378628989285
maximum_box_of_top_hat_box_of_gaussian_blur=1,0.19,0.11,0.1025,0.0775,0.09290646578782172,0.10443444730077121,0.11326201392426558,0.11567341507461268,0.9062763420874711
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.185,0.1325,0.1325,0.17263025737602009,0.17577120822622108,0.16029886228561727,0.16462313468301493,1.1733234625708735
gaussian_blur=20,0.0,0.155,0.225,0.235,0.21782799748901444,0.21143958868894602,0.20750551876379691,0.2072996863416025,1.4590727912833599
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.23,0.145,0.105,0.105,0.12303829252981795,0.1294987146529563,0.14501613177109865,0.14409276684725786,1.1266459058011307
