,0,1,2,3,4,5,sum
top_hat_box=5,0.24,0.14,0.0925,0.10137672090112641,0.12547051442910917,0.11698717948717949,0.8163344148174151
top_hat_box_of_gaussian_blur=3,0.18,0.13,0.1075,0.1251564455569462,0.10727728983688833,0.11121794871794871,0.7611516841117831
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.12,0.2,0.175,0.23028785982478098,0.19761606022584693,0.21570512820512822,1.138609048255756
maximum_box_of_laplace_box_of_gaussian_blur=1,0.06,0.155,0.155,0.1539424280350438,0.18130489335006272,0.17596153846153847,0.881208859846645
difference_of_gaussian=4,0.4,0.205,0.2075,0.16645807259073842,0.1725219573400251,0.16346153846153846,1.314941568392302
gaussian_blur=18,0.0,0.17,0.2625,0.2227784730913642,0.21580928481806774,0.21666666666666667,1.0877544245760986
