,0,1,2,3,4,5,6,sum
top_hat_box=5,0.21,0.195,0.1375,0.09625,0.08583959899749373,0.084403080872914,0.09454358270418668,0.9035362625745944
top_hat_box_of_gaussian_blur=3,0.2,0.1,0.09,0.12125,0.11466165413533834,0.09370988446726572,0.08630748112560055,0.8059290197282045
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.15,0.11,0.085,0.09125,0.12155388471177944,0.13607188703465983,0.14104323953328757,0.8349190112797268
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.16,0.175,0.125,0.1775,0.15413533834586465,0.1697689345314506,0.16901166781056967,1.1304159406878849
maximum_box_of_laplace_box_of_gaussian_blur=1,0.06,0.13,0.1525,0.15,0.15789473684210525,0.15564826700898587,0.15923129718599863,0.9652743010370897
difference_of_gaussian=4,0.22,0.125,0.1975,0.1575,0.16604010025062657,0.15949935815147626,0.14996568291008922,1.175505141312192
gaussian_blur=18,0.0,0.165,0.2125,0.20625,0.19987468671679198,0.20089858793324775,0.19989704873026767,1.1844203233803074
