,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.16,0.17,0.1425,0.12375,0.11299435028248588,0.11446945337620579,0.8237138036586917
laplace_box_of_top_hat_box_of_gaussian_blur=5,0.37,0.145,0.18,0.21125,0.18895166352793472,0.17749196141479098,1.2726936249427256
maximum_box_of_top_hat_box_of_gaussian_blur=1,0.04,0.185,0.0675,0.085,0.09855618330194602,0.09903536977491961,0.5750915530768657
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.115,0.175,0.14875,0.162586315128688,0.1617363344051447,0.8130726495338326
gaussian_blur=20,0.0,0.115,0.22,0.21875,0.21908349026993096,0.20192926045016077,0.9747627507200918
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.23,0.11,0.11,0.1175,0.11864406779661017,0.13890675241157557,0.8250508202081858
