,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.38,0.35,0.29,0.2370088719898606,0.21484375,0.19047619047619047,1.6623288124660511
maximum_box_of_laplace_box_of_gaussian_blur=1,0.22,0.255,0.1675,0.2598225602027883,0.2630208333333333,0.2939958592132505,1.459339252749372
gaussian_blur=20,0.0,0.16,0.2675,0.26489226869455007,0.283203125,0.2712215320910973,1.2468169257856474
maximum_box_of_laplace_box_of_gaussian_blur=5,0.4,0.235,0.275,0.23827629911280102,0.23893229166666666,0.2443064182194617,1.6315150089989294
