,0,1,2,3,sum
top_hat_box_of_gaussian_blur=3,0.46,0.215,0.175,0.18625,1.0362500000000001
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.31,0.285,0.3175,0.33375,1.2462499999999999
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.23,0.24,0.145,0.175,0.79
maximum_box_of_laplace_box_of_gaussian_blur=1,0.0,0.26,0.3625,0.305,0.9275
