,0,1,2,3,4,sum
gaussian_blur=18,0.0,0.165,0.215,0.19375,0.2138364779874214,0.7875864779874213
top_hat_box=5,0.17,0.125,0.1225,0.105,0.08930817610062892,0.611808176100629
top_hat_box_of_gaussian_blur=3,0.18,0.1,0.0875,0.12,0.09433962264150944,0.5818396226415095
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.25,0.14,0.1425,0.16625,0.17987421383647798,0.8786242138364779
difference_of_gaussian=4,0.24,0.2,0.1625,0.1625,0.15660377358490565,0.9216037735849056
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.11,0.12,0.1125,0.105,0.1169811320754717,0.5644811320754717
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.15,0.1575,0.1475,0.1490566037735849,0.6540566037735849
