,0,1,2,3,4,5,sum
top_hat_box=5,0.29,0.145,0.1225,0.1075,0.10776942355889724,0.11164274322169059,0.8844121667805876
top_hat_box_of_gaussian_blur=3,0.16,0.1,0.1575,0.12875,0.11528822055137844,0.10558213716108453,0.767120357712463
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.04,0.12,0.1175,0.1025,0.14035087719298245,0.1649122807017544,0.6852631578947368
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.19,0.22,0.195,0.225,0.21428571428571427,0.20829346092503986,1.2525791752107542
difference_of_gaussian=4,0.32,0.235,0.1625,0.185,0.16541353383458646,0.15885167464114833,1.2267652084757346
gaussian_blur=18,0.0,0.18,0.245,0.25125,0.2568922305764411,0.2507177033492823,1.1838599339257234
