,0,1,2,3,sum
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.33,0.185,0.16,0.21125,0.88625
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.48,0.345,0.2475,0.29375,1.36625
maximum_box_of_laplace_box_of_gaussian_blur=1,0.19,0.205,0.2,0.14875,0.7437499999999999
gaussian_blur=18,0.0,0.265,0.3925,0.34625,1.00375
