,0,1,2,3,4,sum
gaussian_blur=18,0.0,0.145,0.2475,0.2025,0.20564263322884013,0.8006426332288401
top_hat_box=5,0.2,0.15,0.1175,0.08375,0.09467084639498433,0.6459208463949844
top_hat_box_of_gaussian_blur=3,0.23,0.07,0.1325,0.10625,0.09467084639498433,0.6334208463949844
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.18,0.21,0.1325,0.18375,0.18369905956112853,0.8899490595611285
difference_of_gaussian=4,0.28,0.175,0.1575,0.18375,0.15047021943573669,0.9467202194357367
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.08,0.135,0.105,0.09625,0.11849529780564264,0.5347452978056426
maximum_box_of_laplace_box_of_gaussian_blur=1,0.03,0.115,0.1075,0.14375,0.1523510971786834,0.5486010971786834
