,0,1,2,3,4,5,sum
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.3,0.245,0.1725,0.12625,0.1431261770244821,0.15364916773367476,1.140525344758157
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.46,0.275,0.2275,0.245,0.22661644695543,0.220550576184379,1.654667023139809
maximum_box_of_laplace_box_of_gaussian_blur=1,0.06,0.15,0.18,0.1625,0.19397363465160075,0.19590268886043533,0.9423763235120362
gaussian_blur=18,0.0,0.215,0.2775,0.29,0.2755806654111739,0.2532010243277849,1.3112816897389588
difference_of_gaussian=2,0.18,0.115,0.1425,0.17625,0.16070307595731326,0.176696542893726,0.9511496188510393
