,0,1,2,3,4,5,sum
top_hat_box=5,0.28,0.185,0.1025,0.1075,0.1213073538654934,0.1182139415354963,0.9145212954009898
top_hat_box_of_gaussian_blur=3,0.18,0.095,0.1275,0.125,0.11062225015713388,0.10311596530677802,0.741238215463912
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.14,0.22,0.17,0.20375,0.19924575738529227,0.1946675232894314,1.1276632806747238
maximum_box_of_laplace_box_of_gaussian_blur=1,0.05,0.115,0.1925,0.1575,0.1715901948460088,0.1798907805974944,0.8664809754435032
difference_of_gaussian=4,0.35,0.23,0.17,0.1625,0.16341923318667503,0.1760359781561195,1.2519552113427945
gaussian_blur=18,0.0,0.155,0.2375,0.24375,0.2338152105593966,0.22807581111468037,1.098141021674077
