,0,1,2,3,4,5,sum
top_hat_box=5,0.25,0.15,0.1175,0.12265331664580725,0.10698552548772813,0.12213247172859451,0.86927131386213
top_hat_box_of_gaussian_blur=3,0.29,0.125,0.09,0.13516896120150187,0.11076148521082442,0.10306946688206785,0.8539999132943942
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.08,0.2,0.205,0.17772215269086358,0.197608558842039,0.20710823909531503,1.0674389506282176
maximum_box_of_laplace_box_of_gaussian_blur=1,0.09,0.175,0.175,0.17521902377972465,0.17684078036500944,0.1680129240710824,0.9600727282158164
difference_of_gaussian=4,0.29,0.215,0.2025,0.15769712140175218,0.16110761485210826,0.17479806138933765,1.201102797643198
gaussian_blur=18,0.0,0.135,0.21,0.23153942428035043,0.24669603524229075,0.22487883683360257,1.0481142963562438
