,0,1,2,3,4,5,sum
top_hat_box=5,0.35,0.205,0.125,0.1375,0.11753614079195475,0.12637362637362637,1.061409767165581
top_hat_box_of_gaussian_blur=3,0.23,0.15,0.1375,0.1375,0.11313639220615965,0.1092436974789916,0.8773800896851514
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.13,0.17,0.115,0.12375,0.11753614079195475,0.1418875242404654,0.7981736650324203
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.2,0.18,0.2325,0.1925,0.21558768070395978,0.19909502262443438,1.2196827033283941
maximum_box_of_laplace_box_of_gaussian_blur=1,0.09,0.17,0.1725,0.15,0.180389692017599,0.17388493859082094,0.9367746306084199
gaussian_blur=18,0.0,0.125,0.2175,0.25875,0.2558139534883721,0.24951519069166128,1.1065791441800334
