,0,1,2,3,4,5,sum
top_hat_box_of_gaussian_blur=3,0.47,0.27,0.3225,0.2689393939393939,0.19832041343669252,0.17875737591114196,1.7085171832872286
maximum_box_of_laplace_box_of_gaussian_blur=1,0.19,0.37,0.135,0.2196969696969697,0.28488372093023256,0.3019784796945505,1.501559170321753
gaussian_blur=20,0.0,0.16,0.275,0.27525252525252525,0.25387596899224807,0.27664005553627213,1.2407685497810457
maximum_box_of_laplace_box_of_gaussian_blur=5,0.34,0.2,0.2675,0.2361111111111111,0.2629198966408269,0.2426240888580354,1.5491550966099734
