,0,1,2,3,4,5,sum
top_hat_box=5,0.27,0.195,0.1525,0.10375,0.09949937421777222,0.09933142311365807,0.9200807973314303
top_hat_box_of_gaussian_blur=3,0.18,0.125,0.12,0.14125,0.1276595744680851,0.11174785100286533,0.8056574254709503
laplace_box_of_top_hat_box_of_gaussian_blur=10,0.09,0.13,0.105,0.12,0.1276595744680851,0.16014008277618594,0.7327996572442711
maximum_box_of_top_hat_box_of_gaussian_blur=2,0.16,0.175,0.185,0.20875,0.22090112640801002,0.2279528812480102,1.1776040076560204
difference_of_gaussian=4,0.3,0.205,0.2175,0.16875,0.17584480600750937,0.16077682266794013,1.2278716286754494
gaussian_blur=18,0.0,0.17,0.22,0.2575,0.24843554443053817,0.24005093919134035,1.1359864836218785
